aX,aY,aZ,gX,gY,gZ
-0.452,-1.296,-1.296,-0.081,-0.146,0.279
-0.368,-1.364,-1.364,-0.090,-0.096,0.263
-0.497,-1.581,-1.581,-0.067,-0.068,0.212
-0.496,-1.352,-1.352,-0.046,-0.064,0.183
-0.383,-1.377,-1.377,-0.014,-0.012,0.137
-0.371,-1.269,-1.269,0.038,0.055,0.107
-0.349,-1.127,-1.127,0.076,0.073,0.095
-0.384,-1.038,-1.038,0.125,0.130,0.062
-0.306,-0.844,-0.844,0.187,0.203,0.010
-0.197,-0.569,-0.569,0.233,0.263,-0.013
-0.099,-0.281,-0.281,0.285,0.343,-0.027
-0.078,-0.172,-0.172,0.327,0.421,-0.029
-0.110,-0.197,-0.197,0.353,0.469,-0.033
-0.065,-0.174,-0.174,0.384,0.537,-0.049
-0.073,-0.138,-0.138,0.409,0.595,-0.063
-0.034,-0.032,-0.032,0.422,0.635,-0.069
-0.165,0.030,0.030,0.446,0.681,-0.073
-0.209,0.067,0.067,0.465,0.720,-0.073
-0.204,0.023,0.023,0.487,0.755,-0.072
-0.275,0.056,0.056,0.518,0.779,-0.079
-0.082,0.130,0.130,0.554,0.800,-0.087
-0.372,0.005,0.005,0.566,0.854,-0.105
-0.125,0.333,0.333,0.607,0.839,-0.109

1.370,-0.701,-0.701,0.880,2.149,-0.669
-1.675,4.066,4.066,0.716,1.894,-0.451
0.926,-0.651,-0.651,0.274,0.797,-0.109
2.493,-1.305,-1.305,0.497,1.484,-0.350
-0.550,2.522,2.522,0.610,2.035,-0.352
0.418,1.130,1.130,0.237,1.258,-0.203
0.701,0.474,0.474,0.241,1.108,-0.243
1.034,0.746,0.746,0.237,1.519,-0.336
-0.395,1.486,1.486,0.159,1.468,-0.360
-0.082,1.518,1.518,0.089,1.097,-0.289
0.478,0.596,0.596,0.012,0.832,-0.285
1.313,2.193,2.193,0.089,1.025,-0.194
0.212,0.887,0.887,0.013,1.174,-0.055
0.171,0.536,0.536,0.052,1.033,-0.134
0.857,1.173,1.173,0.068,0.935,-0.211
0.633,1.633,1.633,0.082,1.039,-0.146
0.048,1.408,1.408,0.137,0.949,-0.062
-0.065,1.164,1.164,0.110,0.750,-0.087
-0.360,1.399,1.399,0.122,0.507,-0.104
0.502,1.197,1.197,0.111,0.381,-0.116
0.299,1.492,1.492,0.152,0.330,-0.103
-0.106,1.209,1.209,0.151,0.078,-0.110
0.417,1.527,1.527,0.146,-0.052,-0.121
0.231,1.670,1.670,0.127,-0.142,-0.076
0.292,1.501,1.501,0.095,-0.284,-0.078
0.408,1.598,1.598,0.083,-0.381,-0.078
0.409,1.622,1.622,0.040,-0.497,-0.063
0.514,1.637,1.637,-0.007,-0.633,-0.047
0.832,1.294,1.294,-0.073,-0.614,-0.080
0.871,1.827,1.827,-0.111,-0.618,-0.074
0.540,1.936,1.936,-0.193,-0.651,0.000
-0.015,1.784,1.784,-0.210,-0.768,0.086
0.370,0.772,0.772,-0.294,-0.963,0.050
0.625,1.452,1.452,-0.275,-0.993,-0.013
0.528,1.681,1.681,-0.314,-1.013,0.090
0.302,0.666,0.666,-0.386,-1.126,0.133
0.676,0.686,0.686,-0.384,-1.130,0.086
0.338,1.118,1.118,-0.377,-1.038,0.129
0.219,0.753,0.753,-0.426,-1.096,0.161
0.421,0.517,0.517,-0.442,-1.145,0.152
0.366,0.774,0.774,-0.448,-1.109,0.161
0.236,0.670,0.670,-0.467,-1.095,0.214
0.307,0.258,0.258,-0.499,-1.077,0.221
0.221,0.060,0.060,-0.511,-1.015,0.203
0.132,0.134,0.134,-0.512,-0.977,0.188
0.078,0.094,0.094,-0.542,-1.006,0.178
0.062,-0.040,-0.040,-0.554,-1.020,0.181
0.014,-0.048,-0.048,-0.520,-1.055,0.193
0.314,-0.000,-0.000,-0.570,-0.955,0.221
0.012,-0.296,-0.296,-0.540,-0.817,0.242
-0.148,-0.332,-0.332,-0.532,-0.812,0.225
-0.060,-0.434,-0.434,-0.527,-0.803,0.197
-0.148,-0.373,-0.373,-0.502,-0.743,0.199
-0.216,-0.389,-0.389,-0.486,-0.710,0.209
-0.225,-0.503,-0.503,-0.458,-0.663,0.222
-0.282,-0.507,-0.507,-0.407,-0.612,0.215
-0.281,-0.361,-0.361,-0.380,-0.591,0.214
-0.299,-0.298,-0.298,-0.344,-0.534,0.246
-0.391,-0.437,-0.437,-0.308,-0.473,0.271
-0.379,-0.504,-0.504,-0.288,-0.471,0.272
-0.348,-0.592,-0.592,-0.260,-0.465,0.262
-0.463,-0.529,-0.529,-0.236,-0.442,0.253
-0.416,-0.579,-0.579,-0.223,-0.440,0.266
-0.403,-0.741,-0.741,-0.205,-0.414,0.260
-0.479,-0.750,-0.750,-0.166,-0.367,0.230
-0.493,-0.725,-0.725,-0.143,-0.366,0.226
-0.483,-0.791,-0.791,-0.128,-0.369,0.223
-0.422,-0.690,-0.690,-0.109,-0.353,0.200
-0.367,-0.616,-0.616,-0.098,-0.339,0.178
-0.341,-0.533,-0.533,-0.089,-0.329,0.162
-0.325,-0.391,-0.391,-0.086,-0.300,0.145
-0.323,-0.317,-0.317,-0.080,-0.260,0.133
-0.283,-0.344,-0.344,-0.072,-0.235,0.118
-0.212,-0.356,-0.356,-0.067,-0.215,0.090
-0.264,-0.273,-0.273,-0.066,-0.175,0.071
-0.240,-0.301,-0.301,-0.062,-0.125,0.062
-0.156,-0.365,-0.365,-0.055,-0.066,0.040
-0.087,-0.405,-0.405,-0.054,-0.022,0.017
-0.094,-0.420,-0.420,-0.052,0.020,0.000
-0.083,-0.393,-0.393,-0.044,0.077,-0.013
-0.044,-0.390,-0.390,-0.033,0.118,-0.016
-0.052,-0.415,-0.415,-0.016,0.140,-0.022
-0.108,-0.421,-0.421,0.014,0.170,-0.032
-0.035,-0.412,-0.412,0.054,0.198,-0.037
-0.063,-0.366,-0.366,0.095,0.222,-0.038
0.056,-0.308,-0.308,0.154,0.252,-0.031
0.130,-0.381,-0.381,0.218,0.272,-0.023
0.184,-0.416,-0.416,0.281,0.297,-0.021
0.180,-0.450,-0.450,0.325,0.317,-0.020
0.219,-0.464,-0.464,0.374,0.350,-0.024
0.289,-0.403,-0.403,0.420,0.398,-0.036
0.335,-0.344,-0.344,0.442,0.418,-0.033
0.465,-0.323,-0.323,0.462,0.446,-0.032
0.394,-0.330,-0.330,0.471,0.512,-0.021
0.476,-0.342,-0.342,0.484,0.533,-0.034
0.518,-0.486,-0.486,0.501,0.594,-0.013
0.437,-0.673,-0.673,0.509,0.625,-0.055
0.489,-0.519,-0.519,0.513,0.644,-0.073
0.470,-0.626,-0.626,0.510,0.674,-0.085
0.545,-0.064,-0.064,0.521,0.719,-0.076
1.773,-2.602,-2.602,0.436,1.098,-0.244
-0.271,1.143,1.143,0.841,1.755,-0.407
-0.829,0.844,0.844,0.436,0.872,-0.055
1.478,-1.834,-1.834,0.357,0.716,-0.131
1.143,0.474,0.474,0.596,1.410,-0.274
-0.057,1.000,1.000,0.479,1.336,-0.155
0.268,-0.086,-0.086,0.366,1.038,-0.205
1.229,0.831,0.831,0.350,1.003,-0.310
0.566,1.659,1.659,0.318,1.095,-0.196
0.222,0.687,0.687,0.220,1.167,-0.188
0.715,1.462,1.462,0.128,1.010,-0.279
0.400,1.470,1.470,0.006,0.889,-0.192
0.547,1.352,1.352,-0.001,0.905,-0.156
0.118,1.466,1.466,-0.068,0.854,-0.112
0.379,1.173,1.173,-0.130,0.663,-0.034
0.423,0.784,0.784,-0.152,0.667,-0.028
0.147,0.787,0.787,-0.145,0.651,-0.034
0.003,0.860,0.860,-0.143,0.546,-0.026
0.088,0.717,0.717,-0.154,0.391,0.030

1.019,1.938,1.938,6.775,-1.813,-1.022
0.928,2.434,2.434,6.327,-1.555,-0.996
0.971,2.663,2.663,5.999,-1.454,-0.924
