aX,aY,aZ,gX,gY,gZ
-0.004,-0.036,-0.036,-0.162,-0.005,-0.022
-0.018,-0.101,-0.101,-0.183,-0.015,-0.015
0.001,-0.174,-0.174,-0.193,-0.015,-0.013
0.010,-0.222,-0.222,-0.192,-0.011,-0.012
0.057,-0.232,-0.232,-0.187,-0.012,-0.017
0.028,-0.293,-0.293,-0.184,-0.014,-0.021
0.018,-0.245,-0.245,-0.185,-0.019,-0.030
-0.025,-0.122,-0.122,-0.198,-0.035,-0.037
-0.076,-0.068,-0.068,-0.212,-0.056,-0.040
-0.037,-0.076,-0.076,-0.217,-0.067,-0.039
-0.036,-0.164,-0.164,-0.212,-0.074,-0.038
-0.021,-0.104,-0.104,-0.193,-0.081,-0.042
-0.077,-0.032,-0.032,-0.181,-0.089,-0.046
-0.132,0.044,0.044,-0.173,-0.104,-0.049
-0.167,0.202,0.202,-0.171,-0.115,-0.048
-0.215,0.306,0.306,-0.176,-0.121,-0.047
-0.258,0.361,0.361,-0.189,-0.126,-0.038
-0.304,0.368,0.368,-0.198,-0.132,-0.029
-0.284,0.389,0.389,-0.203,-0.135,-0.023
-0.321,0.329,0.329,-0.187,-0.126,-0.011
-0.328,0.370,0.370,-0.156,-0.116,0.003
-0.336,0.414,0.414,-0.139,-0.116,0.014
-0.264,0.387,0.387,-0.126,-0.118,0.024
-0.258,0.360,0.360,-0.118,-0.126,0.048

-1.509,0.728,0.728,0.270,-0.952,0.872
-1.643,0.971,0.971,0.266,-0.927,0.912
-1.995,1.219,1.219,0.242,-0.876,0.958
-2.185,1.401,1.401,0.229,-0.857,1.001
-2.305,1.716,1.716,0.178,-0.814,1.073
-2.611,1.813,1.813,0.107,-0.784,1.158
-2.484,1.641,1.641,0.015,-0.751,1.242
-2.350,1.406,1.406,-0.063,-0.730,1.288
-2.289,1.040,1.040,-0.146,-0.689,1.343
-2.139,0.587,0.587,-0.217,-0.650,1.383
-2.059,0.228,0.228,-0.270,-0.632,1.399
-2.013,-0.316,-0.316,-0.339,-0.619,1.408
-1.973,-0.779,-0.779,-0.409,-0.640,1.383
-1.943,-0.988,-0.988,-0.450,-0.670,1.353
-1.881,-1.217,-1.217,-0.507,-0.700,1.306
-1.937,-1.371,-1.371,-0.556,-0.697,1.264
-2.039,-1.466,-1.466,-0.569,-0.696,1.229
-2.125,-1.469,-1.469,-0.569,-0.683,1.186
-2.270,-1.492,-1.492,-0.531,-0.675,1.154
-2.314,-1.420,-1.420,-0.459,-0.675,1.114
-2.272,-1.340,-1.340,-0.347,-0.657,1.092
-2.377,-1.299,-1.299,-0.233,-0.601,1.080
-2.494,-1.202,-1.202,-0.147,-0.578,1.060
-2.505,-1.094,-1.094,-0.028,-0.562,1.035
-2.605,-1.016,-1.016,0.084,-0.566,1.014
-2.708,-0.756,-0.756,0.148,-0.565,0.995
-2.841,-0.506,-0.506,0.219,-0.557,0.992
-3.000,-0.252,-0.252,0.276,-0.541,0.998
-3.067,0.016,0.016,0.309,-0.525,1.004
-3.109,0.222,0.222,0.329,-0.491,1.039
-3.225,0.297,0.297,0.327,-0.448,1.051
-3.381,0.334,0.334,0.308,-0.452,1.063
-3.299,0.308,0.308,0.274,-0.432,1.081
-3.322,0.213,0.213,0.241,-0.426,1.119
-3.355,0.058,0.058,0.200,-0.407,1.155
-3.433,-0.112,-0.112,0.177,-0.398,1.181
-3.256,-0.232,-0.232,0.178,-0.408,1.224
-3.327,-0.391,-0.391,0.144,-0.367,1.248
-3.317,-0.594,-0.594,0.135,-0.385,1.248
-3.274,-0.986,-0.986,0.114,-0.410,1.249
-3.185,-1.253,-1.253,0.065,-0.420,1.238
-3.173,-1.448,-1.448,0.020,-0.414,1.225
-3.283,-1.766,-1.766,-0.043,-0.429,1.197
-3.138,-2.050,-2.050,-0.092,-0.476,1.170
-3.197,-2.164,-2.164,-0.093,-0.502,1.127
-3.096,-2.271,-2.271,-0.101,-0.540,1.076
-3.334,-2.310,-2.310,-0.089,-0.525,1.016
-3.342,-2.231,-2.231,-0.076,-0.541,0.982
-3.398,-2.219,-2.219,-0.092,-0.499,0.931
-3.696,-2.100,-2.100,-0.056,-0.544,0.888
-3.458,-1.917,-1.917,-0.052,-0.570,0.868
-3.473,-1.907,-1.907,-0.073,-0.510,0.834
